,H,vX,vY,h,x,y
0,67.83700339381244,-387.41359085624805,-684.8357372204846,51.520623794211126,-256875.0,-1944117.0918152204
1,79.68193517731191,-486.45003372313624,-910.6222601715995,50.946612762210975,-257125.0,-1943867.0918152204
2,73.94490142202427,-450.2121121379797,-828.2067801857215,52.62311851992215,-256875.0,-1943867.0918152204
3,68.5873275547204,-407.96711342092385,-738.5242867810124,55.00906721584018,-256625.0,-1943867.0918152204
4,90.67683829227477,-562.0693422644997,-1108.0478695854092,52.75595809208908,-257125.0,-1943617.0918152204
5,81.68894181159543,-515.1426884843978,-994.3664686842632,54.16236642473151,-256875.0,-1943617.0918152204
6,72.81116174067625,-454.0835488533885,-860.1870049047834,56.368340259182176,-256625.0,-1943617.0918152204
7,64.6961956679388,-380.1494504173979,-708.4223298161015,59.40223938880864,-256375.0,-1943617.0918152204
8,106.09272143657371,-613.9520954587807,-1274.695288198573,55.382582482148806,-257125.0,-1943367.0918152204
9,91.92981890903793,-566.8567493799081,-1151.9516252921862,56.385764761996626,-256875.0,-1943367.0918152204
10,78.47432332812147,-493.94533232457064,-984.1117581712052,58.21253749510785,-256625.0,-1943367.0918152204
11,66.39168428792588,-404.4023996326491,-790.9529826129625,61.0283507100729,-256375.0,-1943367.0918152204
12,126.50021307702397,-640.4260524191975,-1389.2021093815088,58.379324436182124,-257125.0,-1943117.0918152204
13,106.01628971733159,-600.9276691349097,-1278.4917226811958,59.02446928780337,-256875.0,-1943117.0918152204
14,86.86363414156614,-530.7586020862063,-1107.1285652232075,60.234195322629134,-256625.0,-1943117.0918152204
15,69.98722108446171,-438.7042245491882,-896.2769185843821,62.39446854778556,-256375.0,-1943117.0918152204
16,56.57047661886127,-348.1387792243684,-695.1225692841692,65.87840723574327,-256125.0,-1943117.0918152204
17,176.49110281159807,-666.5253684180545,-1505.7984684862154,61.60809226211898,-257375.0,-1942867.0918152204
18,150.0761845873458,-656.5380084876124,-1464.3377709153538,61.450714841282576,-257125.0,-1942867.0918152204
19,124.18562478696788,-627.7539909917839,-1376.469413426351,61.936050984625965,-256875.0,-1942867.0918152204
20,99.05527460192556,-571.0589668013897,-1226.5276453267802,62.49872876443824,-256625.0,-1942867.0918152204
21,76.86383473064105,-489.48734834282186,-1026.3218862619628,63.81526153387033,-256375.0,-1942867.0918152204
22,59.85600936685671,-403.8165591433946,-823.5917138032908,66.81064339858814,-256125.0,-1942867.0918152204
23,229.0739796331863,-676.9533655771847,-1549.0832584660648,67.58853940650862,-257625.0,-1942617.0918152204
24,203.67827877404017,-675.8267524752163,-1536.815726585872,65.21150352118458,-257375.0,-1942617.0918152204
25,175.16012538413747,-671.3769558998141,-1511.0675670094645,65.15784023736677,-257125.0,-1942617.0918152204
26,145.4349421981204,-655.4163119727388,-1451.1478594436478,65.93752072441623,-256875.0,-1942617.0918152204
27,115.3365648024739,-616.9583959461094,-1335.9692862334475,66.3295735319466,-256625.0,-1942617.0918152204
28,88.02627731932222,-553.9269370585013,-1167.3668677490577,67.0957388114501,-256375.0,-1942617.0918152204
29,66.8588160590714,-476.32427078125596,-972.6072750236804,69.76132977369072,-256125.0,-1942617.0918152204
30,51.764007709749535,-401.1901314884071,-790.1250503738004,74.80558027498658,-255875.0,-1942617.0918152204
31,55.83456082847308,-351.2006158381772,-798.0373155109672,63.31295843380766,-259375.0,-1942367.0918152204
32,247.27027801735676,-661.9836940405613,-1550.4868933455377,77.8712621089059,-258125.0,-1942367.0918152204
33,258.555788682527,-677.4657919495311,-1568.1512845150082,76.2887601100421,-257875.0,-1942367.0918152204
34,250.196758687088,-684.5056734394215,-1568.2446103303776,72.08768804828645,-257625.0,-1942367.0918152204
35,228.9279957684601,-688.0283340913354,-1560.3388351812976,69.24764537182944,-257375.0,-1942367.0918152204
36,200.74506919858462,-689.0831885204195,-1542.560306551741,69.5550719725496,-257125.0,-1942367.0918152204
37,168.6245241946961,-683.9812683174506,-1503.4800046725488,71.36365386550288,-256875.0,-1942367.0918152204
