,H,vX,vY,h,x,y
0,283.0311658650058,-412.73669090281396,-606.2370100326332,70.64997984616379,-258625.0,-1982117.0918152204
1,384.7988341455932,-709.5839180753693,-1067.2541550545957,59.356359732602726,-259125.0,-1981867.0918152204
2,340.94279002417574,-621.4931297135754,-910.3702226293339,63.0298503828377,-258875.0,-1981867.0918152204
3,302.34595949501534,-536.8949244447111,-753.0851452801296,68.51314044807494,-258625.0,-1981867.0918152204
4,275.3281792768581,-472.2711311264268,-621.2375286787266,74.85877402566811,-258375.0,-1981867.0918152204
5,341.3332823149949,-492.06666185771036,-802.0627262291513,92.4690688688387,-260375.0,-1981617.0918152204
6,381.2442176044652,-566.6919112309233,-901.3968040612655,87.72786546756977,-260125.0,-1981617.0918152204
7,416.4964493689655,-670.906050436956,-1026.4241429134613,78.95175793661294,-259875.0,-1981617.0918152204
8,437.3548515113303,-761.1877223715796,-1133.9099629945388,69.31943222492178,-259625.0,-1981617.0918152204
9,433.48132097381733,-802.679470408153,-1176.4596192022495,62.55903957969323,-259375.0,-1981617.0918152204
10,406.402763675909,-789.7731889535443,-1134.1449364902926,60.27197882308581,-259125.0,-1981617.0918152204
11,365.74164032468093,-740.0028413530125,-1025.8370076672104,62.54943319694333,-258875.0,-1981617.0918152204
12,325.4909725333658,-673.1836158599186,-882.2943429462908,68.70977961156875,-258625.0,-1981617.0918152204
13,295.8226615410309,-611.3428931149164,-741.5039711000854,77.76131325134372,-258375.0,-1981617.0918152204
14,278.8975026384712,-562.8794525343753,-620.9857121438888,89.06684365124246,-258125.0,-1981617.0918152204
15,221.45175922546082,-579.3626963177444,-668.485683348328,85.14358507267997,-261125.0,-1981367.0918152204
16,255.85304604491643,-542.5819260065199,-728.7999703274872,89.96267294881187,-260875.0,-1981367.0918152204
17,295.4603959089543,-522.019359987951,-786.279351590619,94.4971953270798,-260625.0,-1981367.0918152204
18,338.1709592330821,-537.9939512825878,-846.5221530974823,96.16749749173803,-260375.0,-1981367.0918152204
19,381.09052579858235,-595.5419890476364,-919.8405492473692,93.22448052137577,-260125.0,-1981367.0918152204
20,418.86706774066886,-679.1736134022503,-1003.1916182091729,85.70154821665743,-259875.0,-1981367.0918152204
21,442.1423229258553,-762.8017094382565,-1082.5243548276997,75.75039814442752,-259625.0,-1981367.0918152204
22,444.3403853438215,-821.9651360758885,-1132.1382546427271,67.14525506145877,-259375.0,-1981367.0918152204
23,424.2018705784879,-847.0576722696578,-1130.3134570736233,63.11687242742105,-259125.0,-1981367.0918152204
24,389.30040910633113,-839.4181093209028,-1070.7774443721466,65.08597661059875,-258875.0,-1981367.0918152204
25,351.5059476830385,-806.0417209623245,-963.9888808360196,73.01264473389898,-258625.0,-1981367.0918152204
26,321.80362983495104,-757.3142071100283,-833.210579423832,85.35317966225902,-258375.0,-1981367.0918152204
27,305.7203097216982,-707.3628088238053,-706.1428052158764,100.31929944973874,-258125.0,-1981367.0918152204
28,302.71384189083125,-672.8351499737553,-600.8521894337767,117.1908963956116,-257875.0,-1981367.0918152204
29,155.69908685691718,-594.2038381027545,-532.9992453087135,80.59912724051419,-261625.0,-1981117.0918152204
30,175.86384840657348,-591.7303876893882,-581.1246941148823,82.61592824400581,-261375.0,-1981117.0918152204
31,204.24886588015647,-583.6510725657397,-651.2641736757176,86.04300369054124,-261125.0,-1981117.0918152204
32,240.74069993248276,-571.3028810495675,-734.9241983365263,90.94086663844992,-260875.0,-1981117.0918152204
33,283.4291688610084,-566.1501570037833,-813.1959078359176,96.05106622847109,-260625.0,-1981117.0918152204
34,331.4614781113642,-582.7525200602663,-877.2676197798893,99.18043001467899,-260375.0,-1981117.0918152204
35,379.7411301554498,-626.1562319189956,-926.8172481673165,98.3651681954416,-260125.0,-1981117.0918152204
36,420.34678746418285,-691.17176385943,-970.777692799015,92.54832318174826,-259875.0,-1981117.0918152204
37,446.56684596487554,-764.3978301257642,-1012.296607029478,82.78972711770376,-259625.0,-1981117.0918152204
38,452.48265251353314,-832.1146895651183,-1047.6562895267816,73.04785150225358,-259375.0,-1981117.0918152204
39,438.45295718622776,-884.407074973646,-1062.1301201065003,68.47087702031,-259125.0,-1981117.0918152204
40,410.7507399310494,-911.758701002837,-1038.5343016165366,71.94238333473855,-258875.0,-1981117.0918152204
41,379.7098629726727,-912.1074454025091,-973.7121573277141,82.92481157363913,-258625.0,-1981117.0918152204
42,355.1765406656166,-886.7367419203805,-875.7464326762698,98.54878625507749,-258375.0,-1981117.0918152204
43,341.265544613435,-844.2447093274276,-760.9901326130137,115.95430679930324,-258125.0,-1981117.0918152204
44,338.7284042735214,-806.2142487806327,-655.0520051372586,134.05189105954693,-257875.0,-1981117.0918152204
45,343.5578707344233,-788.9472668458419,-572.2267351156959,152.32371067970973,-257625.0,-1981117.0918152204
46,156.32034276430758,-563.5537479495534,-543.7779267810065,82.85824506176695,-261375.0,-1980867.0918152204
47,183.3951497718466,-570.5340720315013,-621.0688291789302,86.09469461031705,-261125.0,-1980867.0918152204
48,220.15297809220178,-577.6779802260817,-716.1225472751985,90.62958031099103,-260875.0,-1980867.0918152204
49,265.25809985188425,-588.1002165833834,-805.4692101012541,95.72762813448378,-260625.0,-1980867.0918152204
50,317.7509890730584,-608.8394665650917,-870.4239596642477,99.88846433264102,-260375.0,-1980867.0918152204
51,371.51371610341977,-645.9833579107167,-907.1741012810771,101.25805952658168,-260125.0,-1980867.0918152204
52,418.08613924710096,-699.3920249190274,-922.9100243845753,97.92016870317903,-259875.0,-1980867.0918152204
53,448.90684403262594,-765.4444576820902,-931.7399197065195,89.59168863884004,-259625.0,-1980867.0918152204
54,458.68622758189156,-835.7281195908903,-942.271396488115,80.27254318336898,-259375.0,-1980867.0918152204
55,450.48309413082035,-901.7277571917637,-952.3785411725197,76.80518675693787,-259125.0,-1980867.0918152204
56,431.95612333963555,-951.4921935252875,-948.3279559872404,83.25617904991066,-258875.0,-1980867.0918152204
57,411.1193224666391,-972.8127403085141,-914.7877473900893,97.84269639409834,-258625.0,-1980867.0918152204
58,395.3118464617341,-967.6734547454633,-852.9592122343917,115.73006485471592,-258375.0,-1980867.0918152204
59,386.16329543643866,-940.6850331782559,-768.6584322759036,133.39411769174316,-258125.0,-1980867.0918152204
60,383.02965910687294,-907.7592442014361,-680.4453623804626,149.95301898048598,-257875.0,-1980867.0918152204
61,382.27091268955553,-875.7454228853273,-600.4299568377488,165.09191392787957,-257625.0,-1980867.0918152204
62,378.10144711731755,-841.7570303535264,-532.2434003496664,177.6822570598417,-257375.0,-1980867.0918152204
63,161.33734131505759,-547.9140127545863,-589.0309556264108,84.71876318455607,-261125.0,-1980617.0918152204
64,195.46661777375144,-564.862870732567,-682.5957406865684,88.2209399136718,-260875.0,-1980617.0918152204
65,240.10390603202802,-583.9476800913989,-768.174920700109,92.55050387744093,-260625.0,-1980617.0918152204
66,295.03627969281797,-609.8117242833357,-830.1304745125063,97.24704451186821,-260375.0,-1980617.0918152204
67,354.13586130562624,-646.5607625812002,-861.564549465834,100.78668807483417,-260125.0,-1980617.0918152204
68,407.79455648402546,-696.9368574665131,-865.1139965037985,100.55379233989909,-259875.0,-1980617.0918152204
69,446.150577192297,-761.6881925260816,-854.7749693446635,95.22727457958526,-259625.0,-1980617.0918152204
70,463.30064942659885,-833.9871074196722,-844.36065578225,88.207251476202,-259375.0,-1980617.0918152204
71,462.6197489358043,-902.1692113742064,-839.5603116799176,87.02728297081107,-259125.0,-1980617.0918152204
72,453.3675224931026,-953.9735426725958,-834.7376156300767,96.41544431576095,-258875.0,-1980617.0918152204
73,443.85331877269243,-983.1874898973174,-819.1514353045218,113.6246314294768,-258625.0,-1980617.0918152204
74,437.77842397787595,-988.1552829718343,-785.1582597535919,132.14256842799693,-258375.0,-1980617.0918152204
75,434.53479075108584,-977.4243753237614,-735.8117574451566,148.07973633982618,-258125.0,-1980617.0918152204
76,431.51660595122746,-954.1917911658509,-677.5316208113967,161.42317468167394,-257875.0,-1980617.0918152204
77,425.9001791177146,-920.6499311037627,-615.3076049883374,172.8176368280442,-257625.0,-1980617.0918152204
78,415.9477664235926,-877.1716450482721,-555.7646911883559,182.13964298362484,-257375.0,-1980617.0918152204
79,403.47732580292006,-826.561174223109,-504.4253474143972,189.7149516193684,-257125.0,-1980617.0918152204
80,393.63704040986033,-770.1918137528882,-463.3087672931215,197.45895936502606,-256875.0,-1980617.0918152204
81,170.46769758834256,-542.9298618157713,-650.3495077704312,84.01158979970425,-260875.0,-1980367.0918152204
82,212.53601278448653,-564.2355114544255,-724.0782640174198,87.28306546569503,-260625.0,-1980367.0918152204
83,267.1333413711383,-591.8973511289453,-778.8367677822379,92.17391041265611,-260375.0,-1980367.0918152204
84,329.1254809664466,-630.272244113839,-809.4322719825534,97.61671643679821,-260125.0,-1980367.0918152204
85,388.9676710605943,-680.9305228398624,-811.403996695388,100.63318577729697,-259875.0,-1980367.0918152204
86,436.0742710075845,-745.709231847276,-793.819180555368,98.9027627092998,-259625.0,-1980367.0918152204
87,463.24885046817514,-819.1048973901858,-771.9267831184751,94.96040360012425,-259375.0,-1980367.0918152204
88,471.59860132356323,-884.3244953804021,-752.4198217610323,95.8493604612458,-259125.0,-1980367.0918152204
89,471.3759226960291,-928.2752122267751,-737.6756390600747,106.53224653837604,-258875.0,-1980367.0918152204
90,470.7629855001134,-951.3816491741427,-725.3259311481396,124.30688051210082,-258625.0,-1980367.0918152204
91,472.65726959973813,-961.2688481768803,-711.5256053925608,142.25640695411153,-258375.0,-1980367.0918152204
92,475.47470459663606,-960.140047063918,-692.3101277050558,156.45362720128946,-258125.0,-1980367.0918152204
93,475.475679454255,-948.5557276277757,-664.7036485795601,167.5120643220875,-257875.0,-1980367.0918152204
94,470.7592774922384,-924.4010589640034,-628.3459960321112,176.8798526927479,-257625.0,-1980367.0918152204
95,460.066514150495,-887.762496907156,-587.9977890793804,184.9695686252144,-257375.0,-1980367.0918152204
96,446.3106796739014,-839.2592560877151,-548.1081558463638,192.38671777518755,-257125.0,-1980367.0918152204
97,433.9461091304365,-783.5146540761285,-511.66476367428726,201.34149691069845,-256875.0,-1980367.0918152204
98,426.0395224105644,-725.7050451255891,-480.86539266893817,214.60088765442987,-256625.0,-1980367.0918152204
99,425.139296079887,-672.5873970588871,-459.4558158880092,232.21488430204636,-256375.0,-1980367.0918152204
100,188.94213817250264,-540.0406985894568,-690.2747007654331,81.66670425260995,-260625.0,-1980117.0918152204
101,241.50559576961027,-567.1699516190679,-738.0285880783904,87.01666113095644,-260375.0,-1980117.0918152204
102,303.0141458780721,-604.7373178743374,-769.2609838151626,94.03412596407613,-260125.0,-1980117.0918152204
103,364.7160517655595,-653.6031158655649,-774.6960448642359,99.56375030660443,-259875.0,-1980117.0918152204
104,417.6894154953029,-715.1468898833822,-757.4186493995437,100.72304303796861,-259625.0,-1980117.0918152204
105,453.13369226717293,-784.6833621885154,-729.0077633493698,98.93733459478061,-259375.0,-1980117.0918152204
106,470.585431417704,-845.5778945008333,-699.6220684146258,100.37795686650793,-259125.0,-1980117.0918152204
107,477.6858284690906,-883.808364970843,-677.4455090394518,110.1781055470712,-258875.0,-1980117.0918152204
108,482.55589431939023,-901.7469377317233,-666.8035455827867,126.8968327256956,-258625.0,-1980117.0918152204
109,489.54003563752394,-910.6842627122757,-666.7018869428134,144.5221640822596,-258375.0,-1980117.0918152204
110,497.7416592802009,-915.3896349635878,-668.7467228339182,159.06679987261816,-258125.0,-1980117.0918152204
111,504.4807935203853,-913.5001013672344,-664.8659007920076,170.67226933233903,-257875.0,-1980117.0918152204
112,507.317652795374,-899.7132887350749,-651.0810275877909,180.67431282709066,-257625.0,-1980117.0918152204
113,504.828166847628,-871.7266941566696,-629.2153190241297,189.51434144347462,-257375.0,-1980117.0918152204
114,496.0115426435676,-830.7966482535085,-602.1731145093698,197.94055748820418,-257125.0,-1980117.0918152204
115,481.9481388952116,-779.4097954186949,-571.1632859050502,208.4309415058465,-256875.0,-1980117.0918152204
116,464.78743218955367,-724.2586636229515,-540.0949133214749,223.7477712604916,-256625.0,-1980117.0918152204
117,450.54253052490657,-670.9293926078126,-513.851730721512,243.02626645711842,-256375.0,-1980117.0918152204
118,446.36172072223,-618.5383129736339,-494.39105774525166,262.3460098064356,-256125.0,-1980117.0918152204
119,224.26576047137266,-543.0725336977339,-713.9574311434211,83.83990066243467,-260375.0,-1979867.0918152204
120,282.51015740349294,-575.8006899365497,-743.0516074036083,92.28217207522421,-260125.0,-1979867.0918152204
121,341.2970326857664,-617.4081282194423,-751.3838045052589,99.28920239179702,-259875.0,-1979867.0918152204
122,393.9155462337735,-669.4477708224498,-736.6783368649399,101.84071792604809,-259625.0,-1979867.0918152204
123,432.9508794189504,-729.8224798243626,-706.6129976537449,100.85458777456748,-259375.0,-1979867.0918152204
124,455.5558820740638,-786.191021400112,-673.9402280777429,101.7730328649566,-259125.0,-1979867.0918152204
125,467.4319782429254,-827.3045901105529,-653.1584083677424,109.9014939216743,-258875.0,-1979867.0918152204
126,475.5845579830633,-850.7984792760975,-650.362718675214,125.47615320603248,-258625.0,-1979867.0918152204
127,485.0646324947112,-863.4870104405054,-661.1272630681882,143.97149102356124,-258375.0,-1979867.0918152204
128,497.3027030647616,-870.876304586798,-675.0704088466762,161.01533772264042,-258125.0,-1979867.0918152204
129,512.0789073676276,-872.0167925072161,-684.0135123274092,175.46295490709713,-257875.0,-1979867.0918152204
130,527.6765493132436,-862.1019535962724,-684.3641604269745,187.92728936060143,-257625.0,-1979867.0918152204
131,540.9358526225564,-837.2489849427621,-675.2099074424497,198.78469168427483,-257375.0,-1979867.0918152204
132,545.2502675300066,-799.582417502057,-658.9017345238618,208.77064946904636,-257125.0,-1979867.0918152204
133,534.2716134850375,-753.1607923666339,-635.0487551380832,220.36240524415746,-256875.0,-1979867.0918152204
134,508.63884217575765,-702.4097777715559,-604.2994939695437,236.26194121236054,-256625.0,-1979867.0918152204
135,480.5713870189252,-649.7136985121288,-572.2280382936995,255.3408454730298,-256375.0,-1979867.0918152204
136,465.2099807631146,-593.787104153697,-543.0825390622548,273.2679852432464,-256125.0,-1979867.0918152204
137,473.10758837251376,-535.6726796756495,-519.8823572479134,286.53806338771807,-255875.0,-1979867.0918152204
138,500.0261926923455,-477.6557136266853,-502.3832735727398,295.07871224093475,-255625.0,-1979867.0918152204
139,323.9133876341523,-575.8066819524869,-727.5103981490723,101.27290820911333,-259875.0,-1979617.0918152204
140,370.66437898356844,-616.4795472740683,-716.6794984286732,104.2299588594728,-259625.0,-1979617.0918152204
141,406.91163010957104,-664.9240714184859,-690.562410086339,103.88626637567563,-259375.0,-1979617.0918152204
142,431.03538081817675,-718.8976461233257,-664.5763362794175,105.13728014929934,-259125.0,-1979617.0918152204
143,445.3270985102607,-769.031346181276,-654.7292415937804,112.87674138194974,-258875.0,-1979617.0918152204
144,455.3179641299715,-806.6289380592127,-663.5244135320848,128.26737834608434,-258625.0,-1979617.0918152204
145,465.6922346445784,-828.934899125409,-682.7605910999371,148.06106332219792,-258375.0,-1979617.0918152204
146,480.0631994799721,-839.5612298674406,-702.9881608565264,167.73357831208378,-258125.0,-1979617.0918152204
147,500.15987606074987,-838.3872923648455,-716.607516852194,185.10223637983324,-257875.0,-1979617.0918152204
148,527.3664448029494,-824.4507153971834,-721.5845404440325,200.2826763486306,-257625.0,-1979617.0918152204
149,559.7606387358383,-795.5389292394838,-719.1565381988322,213.53973872899837,-257375.0,-1979617.0918152204
150,584.9768867629838,-754.8031457362898,-708.9542228343417,225.17672094638584,-257125.0,-1979617.0918152204
151,587.2845464128036,-708.0523935076873,-690.2099632314718,237.21453238101284,-256875.0,-1979617.0918152204
152,562.6722481992466,-659.1044976546452,-662.0559998986744,252.16721992091274,-256625.0,-1979617.0918152204
153,526.6988770408457,-608.0785639427914,-627.2150105776196,269.18564950103524,-256375.0,-1979617.0918152204
154,501.4089483264926,-552.1765103260351,-589.9973935152499,284.43811840657406,-256125.0,-1979617.0918152204
155,500.231003196545,-493.8698492396103,-556.3765102438946,295.15655998102426,-255875.0,-1979617.0918152204
156,519.5303730109092,-436.94508447415365,-528.8803514143316,302.61577048844197,-255625.0,-1979617.0918152204
157,539.2658752520533,-384.9669611375676,-504.7918485590889,310.88978698277054,-255375.0,-1979617.0918152204
158,352.22298433385885,-567.2093709813124,-690.8976588166751,109.37238898043402,-259625.0,-1979367.0918152204
159,382.72084941669794,-606.8914285609161,-673.801539319261,110.84871019169496,-259375.0,-1979367.0918152204
160,404.83188270146314,-659.4985155165308,-661.828986511949,114.29091572290396,-259125.0,-1979367.0918152204
161,419.71985150501285,-719.2822214314715,-667.421327987531,123.15885697347586,-258875.0,-1979367.0918152204
162,430.4029217213468,-771.0256646929535,-688.5801688718353,138.68618293432564,-258625.0,-1979367.0918152204
163,440.8838960515826,-804.5401097130041,-715.1447176866765,158.84917754588625,-258375.0,-1979367.0918152204
164,454.4598855320375,-818.4599763465853,-738.6662065250937,179.85209363723936,-258125.0,-1979367.0918152204
165,476.52477760663413,-813.5495502982899,-753.1298946401852,199.353387729453,-257875.0,-1979367.0918152204
166,510.82668589408166,-790.5338171266854,-758.0631210491821,217.0765552893086,-257625.0,-1979367.0918152204
167,558.6237237900407,-751.6102387073813,-755.4331990336547,232.62958190464147,-257375.0,-1979367.0918152204
168,607.96860999134,-702.748062278344,-746.0992183539973,245.5480623846879,-257125.0,-1979367.0918152204
169,636.1262375493563,-651.6974603854105,-728.5501584119977,257.27449821456923,-256875.0,-1979367.0918152204
170,629.6839576078269,-601.920689875919,-702.0233488413635,270.18507089705906,-256625.0,-1979367.0918152204
171,597.4499298639718,-551.5958158363653,-666.2488988767849,284.0509741351712,-256375.0,-1979367.0918152204
172,562.8327441841684,-499.8941805584134,-626.6085233508712,295.9826890548599,-256125.0,-1979367.0918152204
