,H,vX,vY,h,x,y
0,278.54642978448146,-463.9644189797684,-343.591274155067,95.09920861377483,-257625.0,-1981117.0918152204
1,304.1975655362987,-644.6776128966351,-457.0154990740917,97.29839759203553,-257625.0,-1980867.0918152204
2,299.03150917363666,-705.4302966980393,-461.5575404550511,104.1074950603545,-257375.0,-1980867.0918152204
3,340.26636563171866,-857.9465553039304,-605.8350952650082,95.51944467270441,-257625.0,-1980617.0918152204
4,331.95748998510055,-879.2770733952188,-583.8015282729519,102.8579319677363,-257375.0,-1980617.0918152204
5,322.623101153253,-898.663426153613,-570.4730166739287,110.45866532454043,-257125.0,-1980617.0918152204
6,315.60196301101473,-907.3406702895637,-570.2086485709323,119.73582933970758,-256875.0,-1980617.0918152204
7,380.32679482681755,-1063.637818149874,-776.1017419187324,90.97913555467471,-257625.0,-1980367.0918152204
8,371.74335406582634,-1029.6103131187226,-717.596882882977,99.52930572653828,-257375.0,-1980367.0918152204
9,361.84315770448995,-1004.6946017420427,-682.7046001513413,108.81596388812818,-257125.0,-1980367.0918152204
10,353.1168998376105,-984.145381709068,-671.5525467145027,120.63828073236776,-256875.0,-1980367.0918152204
11,349.5506164960668,-959.1957286684643,-671.2919586400866,138.1119817399323,-256625.0,-1980367.0918152204
12,353.7779868729033,-927.4742962279407,-671.2574705287481,160.85357509506264,-256375.0,-1980367.0918152204
13,413.1853066637443,-1300.8970976012622,-1035.2586395963692,82.32207678304077,-257875.0,-1980117.0918152204
14,414.2003221997051,-1218.0224000180715,-940.1457471320191,89.50742301665885,-257625.0,-1980117.0918152204
15,413.2717601160209,-1140.376900252933,-858.455584094659,99.11972279038694,-257375.0,-1980117.0918152204
16,408.2301094465293,-1083.1279822604554,-810.6364088114262,110.56305167748307,-257125.0,-1980117.0918152204
17,398.8466970107977,-1046.7760651684189,-798.4615707724708,125.35824967519372,-256875.0,-1980117.0918152204
18,387.3024343626971,-1017.2463714826043,-799.6457906079174,146.26277343363503,-256625.0,-1980117.0918152204
19,379.130353958387,-979.617242723864,-791.0440519814151,171.61408989059885,-256375.0,-1980117.0918152204
20,380.1055990898019,-921.5477248796014,-766.6357582279542,196.08988817400748,-256125.0,-1980117.0918152204
21,420.2003043900201,-1381.2605539907306,-1146.4282460983368,90.08876130326041,-257875.0,-1979867.0918152204
22,435.14385372448857,-1308.0862498443526,-1073.8877605261894,97.13262051924879,-257625.0,-1979867.0918152204
23,449.21545526339986,-1220.4709424840291,-1000.3452167834997,107.43617735802337,-257375.0,-1979867.0918152204
