,dis,bed,z85,z02,z07,z15,v85,v02,v07,v15,Td85,Td02,Td07,Td15,Tb85,Tb02,Tb07,Tb15,TLat85,TLat02,TLat07,TLat15,TLon85,TLon02,TLon07,TLon15,fTLon85,fTLon02,fTLon07,fTLon15,t85,t02,t07,t15
0,0.0,-285.0404470287925,81.79196899206123,,,,1.0763752701850169,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False
1,0.1337878466216029,-331.82339488314665,81.43785932207358,,,,1.2055492732500095,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
2,0.26871022851475723,-340.68984744544343,81.72387159386051,61.611320659611245,,,1.236987765998766,1.178013722249958,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False
3,0.39931507092905566,-345.6333579754834,82.79817534953793,63.233693259421756,,,1.2535570216839504,1.1613902589027163,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
4,0.5323846342627496,-350.9266762662053,84.02767868794814,65.58390344779217,,,1.2588856086647906,1.14835633033571,,,74.05528665112914,96.3838782231776,,,-47.78828854788246,41.64758287146103,,,79.66537414751703,23.603716659351665,,,42.1782010514946,31.132578692364884,,,56.95501693240897,32.30060801276035,,,False,False,False,False
5,0.650358091972173,-355.1591113850436,85.41814107198356,68.23142751473,,,1.2485535288471306,1.1418005518687901,,,73.21510643291843,85.43622067494046,,,-40.060418116742305,59.336977985987765,,,69.55242140920134,-7.855227026985381,,,43.72310314045943,33.95446971593813,,,59.71869095146323,39.74247625620619,,,False,False,False,False
6,0.8103187242946328,-357.44778504759984,88.30554374008862,72.34673854412743,,,1.2200042625393395,1.1157473491470138,,,78.42143630407512,87.86174168369264,,,-21.08835352635695,73.95341111907867,,,56.01600639539132,-19.30009214527195,,,43.493783435040726,33.208422709886,,,55.46160015023928,37.796226290890345,,,False,False,False,False
7,0.9680270193117829,-361.84485707022634,88.74784432973225,74.83189635819679,,,1.2034757855721374,1.0986980348747757,,,89.49744870966978,95.41057338069861,,,1.0502760011106433,89.66294055951609,,,46.178598089900845,-25.38139134128714,,,42.268574618658285,31.129024162469722,,,47.22880398052214,32.62638831260506,,,False,False,False,False
8,1.1280168662701093,-364.18198674437537,90.17995184545227,77.92704199825057,,,1.179374205811617,1.0771247130410169,,,100.58179370018223,102.93136393966037,,,25.604746053662108,105.85815588070554,,,34.51597183623834,-31.72115920262883,,,40.46107581028179,28.794367261583684,,,40.227037440681954,27.97433761633946,,,False,False,False,False
9,1.2778774311640921,-367.8338884353597,91.11795881615055,80.17871904721065,,,1.1602877681220523,1.0573893804478278,,,113.3765518508582,111.95455638165986,,,50.63641288439911,121.22447202384838,,,24.895019702447165,-35.15064313395115,,,37.845119264011956,25.880727491762663,,,33.38002315840009,23.117172117170202,,,False,False,False,False
10,1.2784600336688896,-367.8830092996772,91.11984952466082,80.17886982104628,,,1.1602717667615352,1.0573535672717094,,,113.44515049118608,112.00620104709239,,,50.738872094382245,121.28567226978872,,,24.87477962794908,-35.146357554916136,,,37.831498768854765,25.86688633221985,,,33.34783250324483,23.094155582818367,,,False,False,False,False
11,1.339188706383749,-372.0939421131038,91.50263280811626,80.43485964549251,,,1.1585730877791311,1.0541489863173923,,,120.64129511426101,117.46587686281538,,,61.410111716042394,127.59797919983895,,,22.80007342232117,-34.59714282808479,,,36.43110997589748,24.46504049106127,,,30.19787705477886,20.8273595229985,,,False,False,False,False
12,1.4010115176351596,-372.59638493708746,92.66260648509166,81.69236286425397,,,1.1567782415572905,1.0531296463470818,,,128.1689228085088,123.35341304820204,,,72.22726882062153,133.7403429159071,,,20.854695775500808,-33.59581056742759,,,35.086958212386506,23.208880699722542,,,27.37555832064555,18.814948144688426,,,False,False,False,False
13,1.4626819635127903,-373.10589602122417,93.81556570516747,83.00960293118432,,,1.1550470360679446,1.050048449105232,,,135.85774491262873,129.23656052875603,,,83.47744894793325,139.8636219736535,,,18.77193125795782,-32.583144379812126,,,33.608364706737675,21.956082934914594,,,24.737908558950025,16.989064739175888,,,False,False,False,False
14,1.52421028972327,-373.6220303194912,94.96195212669843,84.36168129754265,,,1.1533754642351954,1.0456883554665417,,,143.64505852013028,135.11559563494788,,,94.98757872255395,145.96901801975272,,,16.61065321651204,-31.559857894760082,,,32.046826581064245,20.706435509955153,,,22.309731299648732,15.324978151226384,,,False,False,False,False
15,1.585606716646153,-373.71651419513586,95.93922150165652,85.52397366768415,,,1.1521593602668059,1.0425709842429287,,,151.60227335292421,141.22619644137717,,,106.33861943570477,151.74246210564633,,,14.876128092490347,-29.919258035448134,,,30.387525824729046,19.402992371178854,,,20.044241522676952,13.738947065131088,,,False,False,False,False
16,1.646881403252554,-374.21954774331846,97.1674652657572,86.77155263215859,,,1.1493013117590078,1.04146499678287,,,159.77343178918295,147.66794809671316,,,117.45931973974339,156.9690304006304,,,13.70588899388874,-27.373301899271244,,,28.608223055550784,18.072219595353854,,,17.90549450881084,12.238417224784415,,,False,False,False,False
17,1.7080444140354316,-371.257564291794,99.94215083666273,89.48569469169115,,,1.1452536924291776,1.0415397367173476,,,167.8103342135559,154.11183954297923,,,128.46174867718918,161.8246593169585,,,12.430245126909464,-24.668214587189283,,,26.918340409457304,16.955394813210013,,,16.040931290441833,11.002006635889538,,,False,False,False,False
18,1.7691056889693755,-368.29950305148304,102.71363127212837,92.19618879042017,,,1.1412511007311572,1.0416334587262213,,,175.83919751151345,160.5499027910506,,,139.4396432452111,166.67108495446377,,,11.166708727878943,-21.962726961205718,,,25.23284553842349,15.841544797792636,,,14.34995489943095,9.867053497011321,,,False,False,False,False
